Date,XSICUWFE
2025-09-19T00:00:00,673
2025-09-18T00:00:00,679
2025-09-17T00:00:00,679
2025-09-16T00:00:00,679
2025-09-15T00:00:00,681
2025-09-12T00:00:00,681
2025-09-11T00:00:00,680
2025-09-10T00:00:00,681
2025-09-09T00:00:00,681
2025-09-08T00:00:00,681
2025-09-05T00:00:00,683
2025-09-04T00:00:00,681
2025-09-03T00:00:00,671
2025-09-02T00:00:00,673
2025-09-01T00:00:00,668
2025-08-29T00:00:00,655
2025-08-28T00:00:00,655
2025-08-27T00:00:00,651
2025-08-26T00:00:00,632
2025-08-25T00:00:00,632
2025-08-22T00:00:00,642
2025-08-21T00:00:00,634
2025-08-20T00:00:00,634
2025-08-19T00:00:00,634
2025-08-18T00:00:00,632
2025-08-15T00:00:00,632
2025-08-14T00:00:00,631
2025-08-13T00:00:00,631
2025-08-12T00:00:00,631
2025-08-11T00:00:00,635
2025-08-08T00:00:00,632
2025-08-07T00:00:00,639
2025-08-06T00:00:00,638
2025-08-05T00:00:00,637
2025-08-04T00:00:00,637
2025-08-01T00:00:00,638
2025-07-31T00:00:00,642
2025-07-30T00:00:00,640
2025-07-29T00:00:00,630
2025-07-28T00:00:00,630
2025-07-25T00:00:00,634
2025-07-24T00:00:00,634
2025-07-23T00:00:00,637
2025-07-22T00:00:00,637
2025-07-21T00:00:00,639
2025-07-18T00:00:00,641
2025-07-17T00:00:00,646
2025-07-16T00:00:00,646
2025-07-15T00:00:00,649
2025-07-14T00:00:00,648
2025-07-11T00:00:00,648
2025-07-10T00:00:00,652
2025-07-09T00:00:00,652
2025-07-08T00:00:00,649
2025-07-07T00:00:00,610
2025-07-04T00:00:00,614
2025-07-03T00:00:00,614
2025-07-02T00:00:00,622
2025-07-01T00:00:00,622
2025-06-30T00:00:00,641
2025-06-27T00:00:00,641
2025-06-26T00:00:00,645
2025-06-25T00:00:00,634
2025-06-24T00:00:00,634
2025-06-23T00:00:00,634
2025-06-20T00:00:00,634
2025-06-19T00:00:00,635
2025-06-18T00:00:00,635
2025-06-17T00:00:00,635
2025-06-16T00:00:00,640
2025-06-13T00:00:00,637
2025-06-12T00:00:00,638
2025-06-11T00:00:00,638
2025-06-10T00:00:00,632
2025-06-06T00:00:00,635
2025-06-05T00:00:00,631
2025-06-04T00:00:00,631
2025-06-03T00:00:00,635
2025-06-02T00:00:00,643
2025-05-30T00:00:00,635
2025-05-28T00:00:00,636
2025-05-27T00:00:00,636
2025-05-26T00:00:00,635
2025-05-23T00:00:00,629
2025-05-22T00:00:00,629
2025-05-21T00:00:00,629
2025-05-20T00:00:00,631
2025-05-19T00:00:00,631
2025-05-16T00:00:00,631
2025-05-15T00:00:00,627
2025-05-14T00:00:00,615
2025-05-13T00:00:00,614
2025-05-12T00:00:00,603
2025-05-09T00:00:00,603
2025-05-08T00:00:00,623
2025-05-07T00:00:00,623
2025-05-06T00:00:00,623
2025-05-05T00:00:00,626
2025-05-02T00:00:00,626
2025-04-30T00:00:00,614
2025-04-29T00:00:00,626
2025-04-28T00:00:00,628
2025-04-25T00:00:00,628
2025-04-24T00:00:00,625
2025-04-23T00:00:00,632
2025-04-22T00:00:00,631
2025-04-16T00:00:00,615
2025-04-15T00:00:00,614
2025-04-14T00:00:00,616
2025-04-11T00:00:00,615
2025-04-10T00:00:00,625
2025-04-09T00:00:00,634
2025-04-08T00:00:00,639
2025-04-07T00:00:00,648
2025-04-04T00:00:00,648
2025-04-03T00:00:00,635
2025-04-02T00:00:00,635
2025-04-01T00:00:00,637
2025-03-31T00:00:00,620
2025-03-28T00:00:00,620
2025-03-27T00:00:00,620
2025-03-26T00:00:00,620
2025-03-25T00:00:00,620
2025-03-24T00:00:00,620
2025-03-21T00:00:00,616
2025-03-20T00:00:00,617
2025-03-19T00:00:00,617
2025-03-18T00:00:00,617
2025-03-17T00:00:00,614
2025-03-14T00:00:00,615
2025-03-13T00:00:00,617
2025-03-12T00:00:00,617
2025-03-11T00:00:00,617
2025-03-10T00:00:00,617
2025-03-07T00:00:00,615
2025-03-06T00:00:00,627
2025-03-05T00:00:00,627
2025-03-04T00:00:00,627
2025-03-03T00:00:00,628
2025-02-28T00:00:00,631
2025-02-27T00:00:00,631
2025-02-26T00:00:00,630
2025-02-24T00:00:00,631
2025-02-21T00:00:00,630
2025-02-20T00:00:00,641
2025-02-19T00:00:00,636
2025-02-18T00:00:00,645
2025-02-17T00:00:00,645
2025-02-14T00:00:00,644
2025-02-13T00:00:00,647
2025-02-12T00:00:00,647
2025-02-11T00:00:00,647
2025-02-10T00:00:00,647
2025-02-07T00:00:00,645
2025-02-06T00:00:00,645
2025-02-05T00:00:00,653
2025-02-04T00:00:00,656
2025-02-03T00:00:00,656
2025-01-31T00:00:00,674
2025-01-30T00:00:00,674
2025-01-29T00:00:00,673
2025-01-28T00:00:00,673
2025-01-27T00:00:00,681
2025-01-24T00:00:00,660
2025-01-23T00:00:00,659
2025-01-22T00:00:00,661
2025-01-21T00:00:00,662
2025-01-20T00:00:00,665
2025-01-17T00:00:00,671
2025-01-16T00:00:00,673
2025-01-15T00:00:00,673
2025-01-14T00:00:00,699
2025-01-13T00:00:00,699
2025-01-10T00:00:00,699
2025-01-09T00:00:00,700
2025-01-08T00:00:00,694
2025-01-07T00:00:00,694
2025-01-06T00:00:00,694
2025-01-03T00:00:00,697
2025-01-02T00:00:00,694
2024-12-30T00:00:00,692
2024-12-27T00:00:00,692
2024-12-23T00:00:00,692
2024-12-20T00:00:00,692
2024-12-19T00:00:00,692
2024-12-18T00:00:00,691
2024-12-17T00:00:00,688
2024-12-16T00:00:00,685
2024-12-13T00:00:00,686
2024-12-12T00:00:00,685
2024-12-11T00:00:00,677
2024-12-10T00:00:00,676
2024-12-09T00:00:00,676
2024-12-06T00:00:00,675
2024-12-05T00:00:00,677
2024-12-04T00:00:00,677
2024-12-03T00:00:00,677
2024-12-02T00:00:00,680
2024-11-29T00:00:00,689
2024-11-28T00:00:00,692
2024-11-27T00:00:00,691
2024-11-26T00:00:00,691
2024-11-25T00:00:00,693
2024-11-22T00:00:00,693
2024-11-21T00:00:00,697
2024-11-20T00:00:00,697
2024-11-19T00:00:00,697
2024-11-18T00:00:00,702
2024-11-15T00:00:00,708
2024-11-14T00:00:00,722
2024-11-13T00:00:00,718
2024-11-12T00:00:00,701
2024-11-11T00:00:00,701
2024-11-08T00:00:00,699
2024-11-07T00:00:00,708
2024-11-06T00:00:00,706
2024-11-05T00:00:00,706
2024-11-04T00:00:00,706
2024-11-01T00:00:00,702
2024-10-31T00:00:00,693
2024-10-30T00:00:00,701
2024-10-29T00:00:00,701
2024-10-28T00:00:00,701
2024-10-25T00:00:00,699
2024-10-24T00:00:00,699
2024-10-23T00:00:00,694
2024-10-22T00:00:00,695
2024-10-21T00:00:00,697
2024-10-18T00:00:00,697
2024-10-17T00:00:00,700
2024-10-16T00:00:00,700
2024-10-15T00:00:00,708
2024-10-14T00:00:00,698
2024-10-11T00:00:00,701
2024-10-10T00:00:00,714
2024-10-09T00:00:00,714
2024-10-08T00:00:00,707
2024-10-07T00:00:00,705
2024-10-04T00:00:00,704
2024-10-03T00:00:00,712
2024-10-02T00:00:00,723
2024-10-01T00:00:00,738
2024-09-30T00:00:00,649
2024-09-27T00:00:00,646
2024-09-26T00:00:00,646
2024-09-25T00:00:00,646
2024-09-24T00:00:00,649
2024-09-23T00:00:00,649
2024-09-20T00:00:00,648
2024-09-19T00:00:00,648
2024-09-18T00:00:00,646
2024-09-17T00:00:00,646
2024-09-16T00:00:00,656
2024-09-13T00:00:00,655
2024-09-12T00:00:00,661
2024-09-11T00:00:00,695
2024-09-10T00:00:00,695
2024-09-09T00:00:00,695
2024-09-06T00:00:00,695
2024-09-05T00:00:00,695
2024-09-04T00:00:00,675
2024-09-03T00:00:00,681
2024-09-02T00:00:00,681
2024-08-30T00:00:00,659
2024-08-29T00:00:00,659
2024-08-28T00:00:00,666
2024-08-27T00:00:00,659
2024-08-26T00:00:00,661
2024-08-23T00:00:00,659
2024-08-22T00:00:00,659
2024-08-21T00:00:00,659
2024-08-20T00:00:00,663
2024-08-19T00:00:00,662
2024-08-16T00:00:00,685
2024-08-15T00:00:00,663
2024-08-14T00:00:00,666
2024-08-13T00:00:00,664
2024-08-12T00:00:00,660
2024-08-09T00:00:00,660
2024-08-08T00:00:00,662
2024-08-07T00:00:00,660
2024-08-06T00:00:00,673
2024-08-05T00:00:00,677
2024-08-02T00:00:00,677
2024-08-01T00:00:00,677
2024-07-31T00:00:00,687
2024-07-30T00:00:00,689
2024-07-29T00:00:00,689
2024-07-26T00:00:00,691
2024-07-25T00:00:00,685
2024-07-24T00:00:00,685
2024-07-23T00:00:00,693
2024-07-22T00:00:00,688
2024-07-19T00:00:00,715
2024-07-18T00:00:00,714
2024-07-17T00:00:00,715
2024-07-16T00:00:00,715
2024-07-15T00:00:00,722
2024-07-12T00:00:00,731
2024-07-11T00:00:00,731
2024-07-10T00:00:00,736
2024-07-09T00:00:00,731
2024-07-08T00:00:00,747
2024-07-05T00:00:00,747
2024-07-04T00:00:00,743
2024-07-03T00:00:00,743
2024-07-02T00:00:00,725
2024-07-01T00:00:00,689
2024-06-28T00:00:00,674
2024-06-27T00:00:00,674
2024-06-26T00:00:00,673
2024-06-25T00:00:00,673
2024-06-24T00:00:00,673
2024-06-21T00:00:00,680
2024-06-20T00:00:00,682
2024-06-19T00:00:00,690
2024-06-18T00:00:00,690
2024-06-17T00:00:00,690
2024-06-14T00:00:00,684
2024-06-13T00:00:00,688
2024-06-12T00:00:00,688
2024-06-11T00:00:00,693
2024-06-10T00:00:00,699
2024-06-07T00:00:00,698
2024-06-06T00:00:00,704
2024-06-05T00:00:00,705
2024-06-04T00:00:00,704
2024-06-03T00:00:00,704
2024-05-31T00:00:00,691
2024-05-30T00:00:00,691
2024-05-29T00:00:00,698
2024-05-28T00:00:00,698
2024-05-27T00:00:00,703
2024-05-24T00:00:00,703
2024-05-23T00:00:00,704
2024-05-22T00:00:00,705
2024-05-21T00:00:00,699
2024-05-16T00:00:00,718
2024-05-15T00:00:00,718
2024-05-14T00:00:00,723
2024-05-13T00:00:00,723
2024-05-10T00:00:00,737
2024-05-08T00:00:00,745
2024-05-07T00:00:00,749
2024-05-06T00:00:00,787
2024-05-03T00:00:00,787
2024-05-02T00:00:00,800
2024-04-30T00:00:00,770
2024-04-29T00:00:00,770
2024-04-26T00:00:00,770
2024-04-25T00:00:00,770
2024-04-24T00:00:00,772
2024-04-23T00:00:00,772
2024-04-22T00:00:00,768
2024-04-19T00:00:00,776
2024-04-18T00:00:00,780
2024-04-17T00:00:00,780
2024-04-16T00:00:00,788
2024-04-15T00:00:00,789
2024-04-12T00:00:00,765
2024-04-11T00:00:00,787
2024-04-10T00:00:00,787
2024-04-09T00:00:00,756
2024-04-08T00:00:00,758
2024-04-05T00:00:00,757
2024-04-04T00:00:00,768
2024-04-03T00:00:00,761
2024-04-02T00:00:00,754
2024-03-27T00:00:00,731
2024-03-26T00:00:00,731
2024-03-25T00:00:00,731
2024-03-22T00:00:00,721
2024-03-21T00:00:00,730
2024-03-20T00:00:00,730
2024-03-19T00:00:00,723
2024-03-18T00:00:00,738
2024-03-15T00:00:00,739
2024-03-14T00:00:00,747
2024-03-13T00:00:00,747
2024-03-12T00:00:00,747
2024-03-11T00:00:00,747
2024-03-08T00:00:00,755
2024-03-07T00:00:00,755
2024-03-06T00:00:00,759
2024-03-05T00:00:00,722
2024-03-04T00:00:00,722
2024-03-01T00:00:00,722
2024-02-29T00:00:00,719
2024-02-28T00:00:00,719
2024-02-27T00:00:00,719
2024-02-26T00:00:00,718
2024-02-23T00:00:00,718
2024-02-22T00:00:00,704
2024-02-21T00:00:00,704
2024-02-20T00:00:00,704
2024-02-19T00:00:00,706
2024-02-16T00:00:00,706
2024-02-15T00:00:00,705
2024-02-14T00:00:00,702
2024-02-13T00:00:00,700
2024-02-12T00:00:00,701
2024-02-09T00:00:00,698
2024-02-08T00:00:00,697
2024-02-07T00:00:00,697
2024-02-06T00:00:00,690
2024-02-05T00:00:00,693
2024-02-02T00:00:00,694
2024-02-01T00:00:00,692
2024-01-31T00:00:00,704
2024-01-30T00:00:00,706
2024-01-29T00:00:00,706
2024-01-26T00:00:00,707
2024-01-25T00:00:00,706
2024-01-24T00:00:00,706
2024-01-23T00:00:00,688
2024-01-22T00:00:00,702
2024-01-19T00:00:00,711
2024-01-18T00:00:00,719
2024-01-17T00:00:00,718
2024-01-16T00:00:00,718
2024-01-15T00:00:00,737
2024-01-12T00:00:00,733
2024-01-11T00:00:00,716
2024-01-10T00:00:00,725
2024-01-09T00:00:00,733
2024-01-08T00:00:00,755
2024-01-05T00:00:00,768
2024-01-04T00:00:00,788
2024-01-03T00:00:00,788
2024-01-02T00:00:00,775
2023-12-29T00:00:00,750
2023-12-28T00:00:00,750
2023-12-27T00:00:00,747
2023-12-22T00:00:00,747
2023-12-21T00:00:00,747
2023-12-20T00:00:00,747
2023-12-19T00:00:00,747
2023-12-18T00:00:00,747
2023-12-15T00:00:00,746
2023-12-14T00:00:00,744
2023-12-13T00:00:00,744
2023-12-12T00:00:00,748
2023-12-11T00:00:00,746
2023-12-08T00:00:00,742
2023-12-07T00:00:00,743
2023-12-06T00:00:00,743
2023-12-05T00:00:00,750
2023-12-04T00:00:00,730
2023-12-01T00:00:00,732
2023-11-30T00:00:00,744
2023-11-29T00:00:00,744
2023-11-28T00:00:00,744
2023-11-27T00:00:00,744
2023-11-24T00:00:00,755
2023-11-23T00:00:00,764
2023-11-22T00:00:00,764
2023-11-21T00:00:00,766
2023-11-20T00:00:00,764
2023-11-17T00:00:00,766
2023-11-16T00:00:00,766
2023-11-15T00:00:00,761
2023-11-14T00:00:00,761
2023-11-13T00:00:00,761
2023-11-10T00:00:00,743
2023-11-09T00:00:00,747
2023-11-08T00:00:00,740
2023-11-07T00:00:00,740
2023-11-06T00:00:00,743
2023-11-03T00:00:00,744
2023-11-02T00:00:00,748
2023-11-01T00:00:00,747
2023-10-31T00:00:00,748
2023-10-30T00:00:00,748
2023-10-27T00:00:00,748
2023-10-26T00:00:00,746
2023-10-25T00:00:00,743
2023-10-24T00:00:00,773
2023-10-23T00:00:00,769
2023-10-20T00:00:00,769
2023-10-19T00:00:00,769
2023-10-18T00:00:00,772
2023-10-17T00:00:00,763
2023-10-16T00:00:00,760
2023-10-13T00:00:00,781
2023-10-12T00:00:00,785
2023-10-11T00:00:00,821
2023-10-10T00:00:00,824
2023-10-09T00:00:00,807
2023-10-06T00:00:00,805
2023-10-05T00:00:00,744
2023-10-04T00:00:00,749
2023-10-03T00:00:00,752
2023-10-02T00:00:00,750
2023-09-29T00:00:00,786
2023-09-28T00:00:00,787
2023-09-27T00:00:00,792
2023-09-26T00:00:00,787
2023-09-25T00:00:00,787
2023-09-22T00:00:00,784
2023-09-21T00:00:00,778
2023-09-20T00:00:00,778
2023-09-19T00:00:00,776
2023-09-18T00:00:00,778
2023-09-15T00:00:00,775
2023-09-14T00:00:00,777
2023-09-13T00:00:00,780
2023-09-12T00:00:00,787
2023-09-11T00:00:00,789
2023-09-08T00:00:00,787
2023-09-07T00:00:00,787
2023-09-06T00:00:00,787
2023-09-05T00:00:00,797
2023-09-04T00:00:00,797
2023-09-01T00:00:00,797
2023-08-31T00:00:00,781
2023-08-30T00:00:00,788
2023-08-29T00:00:00,781
2023-08-25T00:00:00,779
2023-08-24T00:00:00,770
2023-08-23T00:00:00,799
2023-08-22T00:00:00,799
2023-08-21T00:00:00,821
2023-08-18T00:00:00,821
2023-08-17T00:00:00,788
2023-08-16T00:00:00,788
2023-08-15T00:00:00,795
2023-08-14T00:00:00,802
2023-08-11T00:00:00,803
2023-08-10T00:00:00,805
2023-08-09T00:00:00,814
2023-08-08T00:00:00,787
2023-08-07T00:00:00,849
2023-08-04T00:00:00,844
2023-08-03T00:00:00,844
2023-08-02T00:00:00,834
2023-08-01T00:00:00,845
2023-07-31T00:00:00,851
2023-07-28T00:00:00,853
2023-07-27T00:00:00,849
2023-07-26T00:00:00,849
2023-07-25T00:00:00,849
2023-07-24T00:00:00,849
2023-07-21T00:00:00,887
2023-07-20T00:00:00,818
2023-07-19T00:00:00,862
2023-07-18T00:00:00,849
2023-07-17T00:00:00,846
2023-07-14T00:00:00,839
2023-07-13T00:00:00,823
2023-07-12T00:00:00,823
2023-07-11T00:00:00,807
2023-07-10T00:00:00,807
2023-07-07T00:00:00,837
2023-07-06T00:00:00,837
2023-07-05T00:00:00,847
2023-07-04T00:00:00,847
2023-07-03T00:00:00,852
2023-06-30T00:00:00,828
2023-06-29T00:00:00,828
2023-06-28T00:00:00,828
2023-06-27T00:00:00,837
2023-06-26T00:00:00,837
2023-06-23T00:00:00,839
2023-06-22T00:00:00,836
2023-06-21T00:00:00,836
2023-06-20T00:00:00,836
2023-06-19T00:00:00,831
2023-06-16T00:00:00,839
2023-06-15T00:00:00,839
2023-06-14T00:00:00,829
2023-06-13T00:00:00,829
2023-06-12T00:00:00,829
2023-06-09T00:00:00,876
2023-06-08T00:00:00,862
2023-06-07T00:00:00,862
2023-06-06T00:00:00,862
2023-06-05T00:00:00,862
2023-06-02T00:00:00,862
2023-06-01T00:00:00,862
2023-05-31T00:00:00,863
2023-05-30T00:00:00,855
2023-05-26T00:00:00,860
2023-05-25T00:00:00,860
2023-05-24T00:00:00,860
2023-05-23T00:00:00,860
2023-05-22T00:00:00,862
2023-05-19T00:00:00,862
2023-05-16T00:00:00,862
2023-05-15T00:00:00,862
2023-05-12T00:00:00,856
2023-05-11T00:00:00,857
2023-05-10T00:00:00,857
2023-05-09T00:00:00,864
2023-05-08T00:00:00,864
2023-05-05T00:00:00,864
2023-05-04T00:00:00,872
2023-05-03T00:00:00,872
2023-05-02T00:00:00,872
2023-04-28T00:00:00,909
2023-04-27T00:00:00,909
2023-04-26T00:00:00,909
2023-04-25T00:00:00,921
2023-04-24T00:00:00,921
2023-04-21T00:00:00,921
2023-04-20T00:00:00,917
2023-04-19T00:00:00,911
2023-04-18T00:00:00,920
2023-04-17T00:00:00,932
2023-04-14T00:00:00,927
2023-04-13T00:00:00,923
2023-04-12T00:00:00,923
2023-04-11T00:00:00,923
2023-04-05T00:00:00,923
2023-04-04T00:00:00,919
2023-04-03T00:00:00,930
2023-03-31T00:00:00,977
2023-03-30T00:00:00,977
2023-03-29T00:00:00,981
2023-03-28T00:00:00,981
2023-03-27T00:00:00,981
2023-03-24T00:00:00,981
2023-03-23T00:00:00,986
2023-03-22T00:00:00,998
